,Name,Edges,Type,Relationship,Collection
0,Ash Ketchum,"[""Ash's Pikachu"", 'Delia Ketchum', 'Gary Oak', ""Ash's Caterpie"", ""Ash's Charmander"", 'Damian', 'Lt. Surge', 'Professor Ivy', 'Tracey Sketchit', ""Ash's Lapras"", 'Kurt', ""Ash's Bulbasaur"", 'Ephraim', 'Ritchie', 'Max', 'Norman', ""Ash's Taillow"", 'Morrison', 'Scott', 'Agatha', ""Ash's Aipom"", 'Paul', 'Wallace', 'Looker', 'J', 'Cyrus', 'Trip', 'Ridley', 'Stephan', 'Professor Juniper', 'Cedric Juniper', 'Ghetsis', 'Colress', 'Alexa', 'Clembot', ""Ash's Froakie"", 'Viola', 'Sanpei', 'Sawyer', 'Olympia', 'Squishy', 'Alain', 'Wulfric', 'Z2', 'Lysandre', 'Giant Rock', 'Chespie', 'Xerosic', 'Mimey', 'Professor Oak', 'Samson Oak', ""Ash's Rowlet"", ""Ash's Rockruff"", ""Ash's Litten"", 'Hala', ""Ash's Poipole"", 'Nanu', ""Jessie's Mimikyu"", 'Hapu', 'Guzma', ""Professor Kukui's Incineroar"", 'Olivia', 'Professor Cerise', 'Goh', 'Leon', 'Bea', 'Rose', 'Oleana', ""Goh's Eternatus"", 'Alder', 'Volkner', 'Pokémon poacher', 'Winona', 'Clayton', 'Giselle', 'Blaine', ""Ash's Gligar"", ""Ash's Primeape"", 'Sir Aaron', ""Ash's Riolu"", ""Ash's Tauros"", ""Ash's Snorlax"", ""Ash's Squirtle"", 'Melanie', 'Officer Jenny', ""Dawn's Piplup""]",Main,Other,Original series
1,Delia Ketchum,"['Ash Ketchum', ""Ash's Pikachu"", 'Nurse Joy', 'Gary Oak', 'Stella', 'Mimey', 'Professor Oak', 'Cleavon Schpielbunk', 'Ritchie', 'Tracey Sketchit', ""May's Bulbasaur"", ""May's Munchlax"", 'Professor Birch', ""Gary's Electivire"", 'Johanna', 'Professor Juniper', 'Alexa', 'Samson Oak', ""Ash's Rockruff"", ""Ash's Rowlet"", ""Ash's Litten"", ""Sophocles's parents"", 'Tupp', 'Zipp', 'Rapp', 'Professor Cerise', ""Ash's Riolu"", 'Goh', 'Professor Ivy', 'Spencer Hale', 'Molly Hale', 'Verity', 'Sorrel', ""Ash's Bulbasaur"", ""Ash's Squirtle"", ""Ash's Snorlax""]",Recurring,Relative,Original series
2,Gary Oak,"['Ash Ketchum', 'Goh', ""Gary's cheerleaders"", 'Samurai', ""Ash's Krabby"", 'Foreman', 'Officer Jenny', ""Gary's Arcanine"", 'Melissa', ""Ash's Pikachu"", ""Gary's Eevee"", 'Alex Davis', 'Dora', ""Gary's Electivire"", 'Professor Rowan', 'J', ""J's henchmen"", ""Ash's Gligar"", 'Saturn', 'Cyrus', 'Paul', ""Gary's Squirtle"", 'Mr. Shellby', ""Ash's Snorlax"", 'Butch', 'Cassidy', 'Ritchie', ""Brock's Vulpix""]",Recurring,Rival,Original series
3,Gary's cheerleaders,"['Gary Oak', 'Melissa', 'Ash Ketchum']",Recurring,Other,Original series
4,Ash's Pikachu,"['Ash Ketchum', ""Gary's Squirtle"", 'Officer Jenny', 'Nurse Joy', ""Brock's Onix"", ""Brock's Geodude"", ""Lt. Surge's Raichu"", 'Lt. Surge', ""Sabrina's Abra"", 'Sabrina', ""Sabrina's father"", ""Ash's Squirtle"", 'Dario', 'Jessie', ""Jessie's Lickitung"", 'Blaine', ""Blaine's Magmar"", 'Pete Pebbleman', 'Jeanette Fisher', 'Ritchie', 'Zippo', 'Butch', 'Cassidy', 'Danny', 'Rudy', 'James', 'Tracey Sketchit', 'Luana', ""Drake's Dragonite"", ""Gary's Eevee"", ""Casey's Chikorita"", 'Falkner', 'Bugsy', ""Bugsy's Scyther"", 'Whitney', ""Whitney's Miltank"", ""Ash's Cyndaquil"", 'Morty', 'Chuck', ""Jasmine's Steelix"", ""Pryce's Piloswine"", 'Pryce', 'Clair', 'Salvador', 'Vincent', ""Harrison's Sneasel"", 'Professor Birch', 'Norman', ""May's Torchic"", 'Roxanne', ""Roxanne's Nosepass"", 'Wattson', 'Flannery', ""Ash's Treecko"", ""Ash's Corphish"", 'Winona', 'Maxie', ""Tate's Solrock"", ""Liza's Lunatone"", 'Drake', ""Ash's Snorunt"", 'Juan', 'Morrison', ""Morrison's Beldum"", ""Tyson's Meowth"", 'Agatha', ""Agatha's Gengar"", 'Lucy', ""Lucy's Seviper"", 'Anabel', 'Gary Oak', ""Gary's Electivire"", ""Ash's Aipom"", 'Paul', ""Paul's Elekid"", ""Nando's Budew"", 'Roark', ""Roark's Cranidos"", ""Brock's Croagunk"", ""Paul's Chimchar"", 'Reggie', ""Maylene's Lucario"", 'Sho', 'Crasher Wake', 'Hermione', ""Dawn's Buneary"", 'Cocoa', 'Fantina', ""Barry's Empoleon"", 'Wilkinson', ""Paul's Ursaring"", 'Palmer', ""Flint's Infernape"", 'Volkner', ""Dawn's Piplup"", 'Trip', ""Trip's Snivy"", 'Cress', ""Cress's Panpour"", ""Ash's Oshawott"", ""Ash's Tepig"", ""Bianca's Pignite"", 'Sunglasses Sandile', 'Burgh', ""Iris's Excadrill"", 'Elesa', 'Alder', 'Skyla', ""Skyla's Swanna"", 'Stephan', 'Roxie', ""Ash's Palpitoad"", ""Giovanni's Persian"", ""Iris's Dragonite"", ""Ash's Snivy"", 'Colress', 'Ghetsis', 'Teaque', ""Iris's Axew"", ""Cilan's Pansage"", 'Alexa', ""Clemont's Bunnelby"", ""Jessie's Wobbuffet"", ""Ash's Froakie"", 'Viola', ""Ash's Fletchling"", 'Grant', 'Diantha', ""Diantha's Gardevoir"", ""Korrina's Lucario"", 'Gurkinn', ""Serena's Fennekin"", ""Clemont's Chespin"", ""Tierno's Squirtle"", ""Shauna's Bulbasaur"", ""Trevor's Charmander"", ""Ash's Goomy"", ""Jessie's Pumpkaboo"", 'Sawyer', ""Serena's Eevee"", 'Olympia', 'Squishy', 'Miette', 'Monsieur Pierre', ""James's Inkay"", 'Wulfric', 'Alain', ""Alain's Charizard"", 'Mairin', 'Celosia', 'Lysandre', 'Malva', ""Lysandre's Pyroar"", ""Steven's Metagross"", 'Giant Rock', 'Chespie', 'Z2', ""Clemont's Dedenne"", ""Kiawe's Charizard"", 'Samson Oak', ""Kiawe's Turtonator"", ""Ash's Rowlet"", 'Hala', 'Snowy', 'Hobbes', ""Misty's Gyarados"", ""Jessie's Mimikyu"", 'Nanu', 'Hapu', 'Guzma', ""Gladion's Lycanroc"", 'Hodge', 'Leon', 'Visquez', ""Ash's Gengar"", ""Ash's Riolu"", 'Bea', 'Rose', ""Goh's Eternatus"", 'Goh', 'Opal', ""Misty's Togepi"", 'Pikachutwo', 'Burgundy', ""Dawn's Pachirisu"", ""Ash's Bulbasaur"", ""Misty's Psyduck"", ""Ash's Noctowl"", ""Ash's Totodile"", ""Jessie's Seviper"", ""James's Cacnea"", ""Brock's Mudkip"", ""Brock's Lotad"", ""Ash's Torkoal"", ""Ash's Turtwig"", ""Lana's Popplio"", 'Professor Oak', ""Professor Oak's Rotom"", ""Serena's Pancham""]",Main,Pokémon,Original series
5,Professor Oak,"['Ash Ketchum', 'Foster', 'Professor Elm', 'Spencer Hale', 'Delia Ketchum', 'Goh', 'Chloe', 'Gary Oak', ""Ash's Pikachu"", 'Professor Ivy', 'Tracey Sketchit', 'Kurt', 'DJ Mary', 'Nurse Joy', ""Ash's Larvitar"", 'Professor Birch', 'Max', ""May's Squirtle"", ""May's Bulbasaur"", ""Ash's Bulbasaur"", 'Drew', 'Scott', ""Drew's Roselia"", ""May's Skitty"", 'Johanna', 'James', 'Professor Juniper', 'Alexa', ""Ash's Froakie"", 'Samson Oak', 'Professor Cerise', 'Butch', 'Cassidy', ""Ash's Tauros"", 'Agatha', 'Bill', 'Cross']",Recurring,Pokémon,Original series
6,Spearow,"[""Ash's Pidgeotto"", 'Mahri', 'Ash Ketchum', ""Ash's Pikachu""]",Recurring,Pokémon,Original series
7,Misty,"['Ash Ketchum', ""Ash's Pikachu"", 'Tracey Sketchit', ""Misty's Horsea"", ""Misty's Togepi"", 'Rudy', 'Andreas', 'Trinity', 'Nurse Joy', 'Violet', 'Max', 'Dr. Yung', ""Misty's Gyarados"", 'Olivia', 'Visquez', 'Mikey', 'Sakura', 'Macy', ""Misty's Staryu"", ""Misty's Psyduck"", ""Misty's Corsola"", ""Tracey's Venonat"", ""Jessie's Lickitung"", 'Duplica']",Main,gym leader,Original series
8,Ho-Oh,"['Ash Ketchum', ""Ash's Pikachu"", 'Eusine', 'King of Pokélantis', 'Jaye', 'Cross', 'Bonji', 'Lillie']",Recurring,Pokémon,Original series
9,Officer Jenny,"['Ash Ketchum', ""Ash's Pikachu"", 'Nurse Joy', ""James's Koffing"", 'Squirtle Squad', ""Ash's Squirtle"", 'Brandon', ""Officer Jenny's Growlithe"", 'Butch', 'Cassidy', 'The Black Arachnid', ""Ash's Phanpy"", 'Pokémon poacher', 'Rico', 'Max', 'Brodie', 'Professor Rowan', 'Mr. Sukizo', 'Jessie', 'James', 'Crimson', 'Azure', ""Jessie's Woobat"", 'Pierce', 'Christie', 'Doyle', ""Ash's Roggenrola"", ""Iris's Dragonite"", 'Professor Sycamore', 'Dolan', ""Officer Jenny's Manectric"", 'Dark Clembot', 'Clembot', 'Belmondo', 'Hala', 'Viren', ""Viren's henchmen"", 'Nanu', 'Goh', 'Matori', 'Don George', 'Porter', 'Misty']",Recurring,Other,Original series
